"id","name","pilot_id","created_at","updated_at"
2,"DJI Mavic",24,"2018-01-06 23:03:20.512082","2018-01-06 23:03:20.512082"
3,"DJI Spark",24,"2018-01-06 23:11:04.834371","2018-01-06 23:11:04.834371"
4,"DJI Mavic",1,"2018-01-07 03:07:17.768474","2018-01-07 03:07:17.768474"
5,"DJI Phantom 4 Pro",33,"2018-01-07 17:35:41.021501","2018-01-07 17:35:41.021501"
6,"DJI Phantom 4 Pro",56,"2018-01-07 17:43:25.278378","2018-01-07 17:43:25.278378"
7,"DJI Mavic",56,"2018-01-07 17:43:25.28153","2018-01-07 17:43:25.28153"
8,"DJI Mavic",27,"2018-01-07 20:37:32.512737","2018-01-07 20:37:32.512737"
9,"DJI Phantom 3",27,"2018-01-07 20:37:32.515195","2018-01-07 20:37:32.515195"
10,"DJI Mavic",57,"2018-01-07 23:28:54.732706","2018-01-07 23:28:54.732706"
12,"DJI Phantom 4 Pro",53,"2018-01-08 15:35:38.876513","2018-01-08 15:35:38.876513"
13,"DJI Spark",60,"2018-01-08 18:35:40.730082","2018-01-08 18:35:40.730082"
14,"DJI Mavic",62,"2018-01-08 18:55:53.564739","2018-01-08 18:55:53.564739"
15,"DJI Phantom 3",35,"2018-01-08 19:05:05.759982","2018-01-08 19:05:05.759982"
16,"DJI Phantom 4",63,"2018-01-08 20:20:36.07822","2018-01-08 20:20:36.07822"
17,"DJI Mavic",23,"2018-01-08 23:12:04.53061","2018-01-08 23:12:04.53061"
18,"DJI Phantom 4 Pro",29,"2018-01-09 00:19:06.299517","2018-01-09 00:19:06.299517"
19,"DJI Mavic",29,"2018-01-09 00:19:06.307453","2018-01-09 00:19:06.307453"
20,"DJI Mavic",61,"2018-01-09 00:21:05.434685","2018-01-09 00:21:05.434685"
21,"DJI Inspire 2",29,"2018-01-09 00:21:29.561309","2018-01-09 00:21:29.561309"
22,"DJI Mavic",55,"2018-01-09 00:24:50.720702","2018-01-09 00:24:50.720702"
23,"DJI Phantom 4 Pro",64,"2018-01-09 01:22:09.412899","2018-01-09 01:22:09.412899"
24,"DJI Mavic",65,"2018-01-09 04:30:37.148925","2018-01-09 04:30:37.148925"
25,"DJI Phantom 4 Pro",65,"2018-01-09 04:30:37.151916","2018-01-09 04:30:37.151916"
26,"DJI Spark",65,"2018-01-09 04:30:37.154552","2018-01-09 04:30:37.154552"
28,"DJI Mavic",11,"2018-01-09 05:27:37.459599","2018-01-09 05:27:37.459599"
29,"DJI Mavic",6,"2018-01-10 19:22:22.554429","2018-01-10 19:22:22.554429"
30,"DJI Phantom 4 Pro",67,"2018-01-11 00:53:57.283863","2018-01-11 00:53:57.283863"
11,"DJI Phantom 4",57,"2018-01-07 23:28:54.74114","2018-01-11 00:59:48.189069"
31,"DJI Phantom 3",68,"2018-01-11 02:47:26.507103","2018-01-11 02:47:26.507103"
32,"DJI Phantom 4 Pro",75,"2018-01-11 12:10:27.464649","2018-01-11 12:10:27.464649"
33,"DJI Phantom 3",75,"2018-01-11 12:10:27.469221","2018-01-11 12:10:27.469221"
