Descrição,Data,A pagar,Pago,Total
Domínio - droneiro.com,21/11/2017,,"-R$ 38,22","-38,22"
Impressões,04/12/2017,,"-R$ 10,00","-10,00"
Adesivos Teste,04/12/2017,,"-R$ 26,00","-26,00"
Cartões,06/12/2017,,"-R$ 75,00","-75,00"
Miolo - Adesivos - Lote #1,11/12/2017,,"-R$ 40,00","-40,00"
Miolo - Sisants - Lote #1,13/12/2017,,"-R$ 70,00","-70,00"
Etiquetadora,13/12/2017,,"-R$ 50,00","-50,00"
Envio Especial Sedex,13/12/2017,,"-R$ 37,50","-37,50"
Envio Correios - Lote #1,13/12/2017,,"-R$ 68,40","-68,40"
Miolo - Lote #2,29/12/2017,,"-R$ 90,00","-90,00"
NuBank Jan,01/01/2018,,"-R$ 336,23","-336,23"
Pagamento Carol,01/01/2018,,"-R$ 745,00","-745,00"
Miolo - Lote #3,31/01/2018,,"-R$ 180,00","-180,00"
Cartões (100),02/02/2018,,"-R$ 96,00","-96,00"
NuBank Fev,01/02/2018,,"-R$ 886,34","-886,34"
Pagamento Carol,01/02/2018,,"-R$ 1.000,00","-1.000,00"
Pagamento Will,01/02/2018,,"-R$ 250,00","-250,00"
Chromebook Carol,08/02/2018,,"-R$ 1.000,00","-1.000,00"
Miolo - Lote #4,19/02/2018,,"-R$ 111,00","-111,00"
Envelopes (50),20/02/2018,,"-R$ 17,50","-17,50"
Envio Correios - Lote #4,22/02/2018,,"-R$ 102,60","-102,60"
NuBank Mar,01/03/2018,,"-R$ 853,62","-853,62"
Pagamento Carol,01/03/2018,,"-R$ 1.000,00","-1.000,00"
Pagamento Will,01/03/2018,,"-R$ 850,00","-850,00"
iMac Startaê (emprestado),05/03/2018,,"-R$ 200,00","-200,00"
Miolo - Lote #5,09/03/2018,,"-R$ 82,00","-82,00"
Ida ao aeroporto,12/03/2018,,"-R$ 90,00","-90,00"
Envio Correios - Lote #5,15/03/2018,,"-R$ 83,60","-83,60"
Clipes (400) e Envelopes (10),20/03/2018,,"-R$ 19,60","-19,60"
Miolo - Lote #6,20/03/2018,,"-R$ 158,00","-158,00"
Envio Correios - Lote #6,21/03/2018,,"-R$ 137,50","-137,50"
Envelopes (200) e Pasta,21/03/2018,,"-R$ 60,66","-60,66"
NuBank Abril,01/04/2018,,"-R$ 939,64","-939,64"
Pagamento Carol,01/04/2018,,"-R$ 1.000,00","-1.000,00"
Pagamento Will,01/04/2018,,"-R$ 850,00","-850,00"
Miolo - Lote #7,10/04/2018,,"-R$ 86,00","-86,00"
Envio Correios - Lote #7,10/04/2018,,"-R$ 68,40","-68,40"
Viagem SDA Will,19/04/2018,,"-R$ 600,00","-600,00"
Miolo - Lote #8,23/04/2018,,"-R$ 154,00","-154,00"
Envio Correios - Lote #7,25/04/2018,,"-R$ 153,90","-153,90"
Adesivos,26/04/2018,"-R$ 135,00",,"-135,00"
,,,,
Próximo Gasto,10/04/2018,"R$ 0,00",,"0,00"
Lucro,,"-R$ 135,00","-R$ 12.616,71","-R$ 12.751,71"
